1400
174,86400
161,200,1000,-7999.9920000002,10999.9956,25
162,200,1000,-8199.9918000001,10999.9956,55
163,200,1000,-8399.9916,10999.9956,55
164,200,1000,-7399.9926000002,11999.9952,44
165,200,1000,-7599.9924,11999.9952,32
166,200,1000,-7799.9922000003,11999.9952,73
167,200,1000,-7999.9920000002,11999.9952,45
168,200,1000,-6999.9930000004,12999.9948,22
169,200,1000,-7199.9928000003,12999.9948,48
170,200,1000,-7399.9926000002,12999.9948,63
171,200,1000,-7599.9924,12999.9948,2
172,200,1000,-7399.9926000002,13999.9944,95
173,200,1000,-3499.9965,14999.994,15
174,200,1000,-4799.9952000003,14999.994,25
175,200,1000,-7199.9928000003,14999.994,85
176,200,1000,-7499.9925000003,14999.994,105
177,200,1000,-1299.9987000003,15999.993599999,4
178,200,1000,-1499.9985000002,15999.993599999,30
179,200,1000,-8599.9914000003,15999.993599999,39
180,200,1000,-8799.9912000002,15999.993599999,99
181,200,1000,-8999.9910000001,15999.993599999,113
182,200,1000,-9199.9908,15999.993599999,112
183,200,1000,-9399.9906000003,15999.993599999,101
184,200,1000,-9599.9904000002,15999.993599999,56
185,200,1000,-9899.9901000002,15999.993599999,27
186,200,1000,-9999.99,16999.993199999,9
187,200,1000,-10199.9898,16999.993199999,64
188,200,1000,-10399.9896,16999.993199999,110
189,200,1000,-10599.9894,16999.993199999,113
190,200,1000,-10799.9892,16999.993199999,113
191,200,1000,-10999.989,16999.993199999,113
192,200,1000,-11199.9888,16999.993199999,113
193,200,1000,-11399.9886,16999.993199999,102
194,200,1000,-11599.9884,16999.993199999,56
195,200,1000,-11799.9882,16999.993199999,6
196,200,1000,-12799.9872,16999.993199999,55
197,200,1000,-12999.987,16999.993199999,64
198,200,1000,-13199.9868,16999.993199999,11
199,200,1000,-33599.9664,16999.993199999,18
200,200,1000,-11699.9883,17999.9928,66
201,200,1000,-12199.9878,17999.9928,113
202,200,1000,-12399.9876,17999.9928,113
203,200,1000,-12599.9874,17999.9928,111
204,200,1000,-12799.9872,17999.9928,70
205,200,1000,-12999.987,17999.9928,55
206,200,1000,-13199.9868,17999.9928,43
207,200,1000,-12499.9875,18999.9924,2
208,200,1000,-12599.9874,18999.9924,59
209,200,1000,-12799.9872,18999.9924,92
210,200,1000,-12999.987,18999.9924,113
211,200,1000,-13199.9868,18999.9924,110
212,200,1000,-13399.9866,18999.9924,73
213,200,1000,-13599.9864,18999.9924,29
214,200,1000,-32799.9672,18999.9924,32
215,200,1000,-32999.967,18999.9924,26
216,200,1000,-13699.9863,19999.992,112
217,200,1000,-13899.9861,19999.992,7
218,200,1000,-30399.9696,19999.992,20
219,200,1000,-13599.9864,20999.9916,2
220,200,1000,-13799.9862,20999.9916,45
221,200,1000,-13999.986,20999.9916,100
222,200,1000,-14199.9858,20999.9916,113
223,200,1000,-14399.9856,20999.9916,95
224,200,1000,-30899.9691,20999.9916,10
225,200,1000,-31299.9687,20999.9916,33
226,200,1000,-31499.9685,20999.9916,43
227,200,1000,-31699.9683,20999.9916,56
228,200,1000,-31899.9681,20999.9916,56
229,200,1000,-32099.9679,20999.9916,43
230,200,1000,-32299.9677,20999.9916,30
231,200,1000,-32499.9675,20999.9916,40
232,200,1000,-32699.9673,20999.9916,56
233,200,1000,-32899.9671,20999.9916,52
234,200,1000,-33099.9669,20999.9916,15
235,200,1000,-33999.966,20999.9916,43
236,200,1000,-34199.9658,20999.9916,31
237,200,1000,-34399.9656,20999.9916,4
238,200,1000,-35199.9648,20999.9916,5
239,200,1000,-35499.9645,20999.9916,8
240,200,1000,-14399.9856,21999.991199999,40
241,200,1000,-14599.9854,21999.991199999,112
242,200,1000,-14799.9852,21999.991199999,112
243,200,1000,-28999.971,21999.991199999,38
244,200,1000,-29199.9708,21999.991199999,60
245,200,1000,-29399.9706,21999.991199999,42
246,200,1000,-36399.9636,21999.991199999,2
247,200,1000,-36599.9634,21999.991199999,37
248,200,1000,-36899.9631,21999.991199999,4
249,200,1000,-37099.9629,21999.991199999,9
250,200,1000,-37299.9627,21999.991199999,23
251,200,1000,-37499.9625,21999.991199999,39
